Image Key,Nucleus,Foci Count (Foci_1_Channel_1),Nucleus Area (pixels),Nucleus Area (micron²),Total Foci Area (pixels) (Foci_1_Channel_1),Total Foci Area (micron²) (Foci_1_Channel_1),Relative Foci Area (%) (Foci_1_Channel_1)
1,1,0,4417.0,189.55707550048857,0,0.0,0.0
1,2,0,5686.0,244.01664733886753,0,0.0,0.0
1,3,0,5086.0,218.26744079589875,0,0.0,0.0
1,4,0,3535.0,151.70574188232445,0,0.0,0.0
1,5,27,3570.0,153.2077789306643,1417,60.81104278564462,39.69
1,6,5,3684.0,158.10012817382835,71,3.046989440917973,1.93
1,7,30,4912.0,210.8001708984378,276,11.844635009765643,5.62
1,8,0,5087.0,218.31035614013703,0,0.0,0.0
1,9,7,7813.0,335.2975845336919,32,1.373291015625002,0.41
1,10,27,2722.0,116.81556701660173,1338,57.4207305908204,49.16
1,11,29,5760.0,247.19238281250037,3770,161.79084777832054,65.45
1,12,0,6040.0,259.20867919921915,0,0.0,0.0
1,13,38,4655.0,199.7709274291995,2651,113.76857757568376,56.95
1,14,18,6755.0,289.89315032959024,5387,231.18495941162143,79.75
1,15,13,13537.0,580.9450149536141,55,2.3603439331054723,0.41
1,16,26,5580.0,239.46762084960972,127,5.450248718261727,2.28
1,17,84,7077.0,303.71189117431686,692,29.697418212890668,9.78
1,18,0,4210.0,180.67359924316432,0,0.0,0.0
1,19,66,16512.0,708.618164062501,10853,465.7602310180671,65.73
1,20,53,5878.0,252.25639343261756,2863,122.8666305541994,48.71
1,21,92,8108.0,347.9576110839849,3081,132.22217559814473,38.0
1,22,49,4144.0,177.84118652343776,702,30.12657165527348,16.94
1,23,21,5442.0,233.5453033447269,3969,170.33100128173854,72.93
1,24,0,3854.0,165.39573669433616,0,0.0,0.0
1,25,25,10424.0,447.3495483398444,77,3.304481506347661,0.74
1,26,0,4650.0,199.5563507080081,0,0.0,0.0
1,27,0,4824.0,207.02362060546906,0,0.0,0.0
1,28,0,4295.0,184.32140350341822,0,0.0,0.0
1,29,0,8531.0,366.11080169677786,0,0.0,0.0
1,30,30,3424.0,146.94213867187523,849,36.43512725830083,24.8
1,31,11,8733.0,374.7797012329107,55,2.3603439331054723,0.63
1,32,0,4906.0,210.54267883300813,0,0.0,0.0
1,33,4,3470.0,148.91624450683616,39,1.6736984252929712,1.12
1,34,0,8364.0,358.9439392089849,0,0.0,0.0
1,35,3,6442.0,276.4606475830082,12,0.5149841308593758,0.19
1,36,0,4778.0,205.0495147705081,0,0.0,0.0
2,1,0,4636.0,198.95553588867216,0,0.0,0.0
2,2,2,5172.0,221.95816040039094,3,0.12874603271484394,0.06
2,3,0,7740.0,332.1647644042974,0,0.0,0.0
2,4,0,5425.0,232.81574249267612,0,0.0,0.0
2,5,0,9629.0,413.2318496704108,0,0.0,0.0
2,6,0,7368.0,316.2002563476567,0,0.0,0.0
2,7,0,3864.0,165.82489013671898,0,0.0,0.0
2,8,1,5074.0,217.75245666503938,7,0.3004074096679692,0.14
2,9,0,4196.0,180.07278442382838,0,0.0,0.0
2,10,1,3282.0,140.84815979003926,1,0.04291534423828131,0.03
2,11,0,6268.0,268.9933776855473,0,0.0,0.0
2,12,0,9534.0,409.154891967774,0,0.0,0.0
2,13,1,4815.0,206.63738250732453,1,0.04291534423828131,0.02
2,14,2,4475.0,192.04616546630888,11,0.4720687866210944,0.25
2,15,0,4162.0,178.61366271972682,0,0.0,0.0
2,16,0,6444.0,276.5464782714848,0,0.0,0.0
2,17,1,4911.0,210.75725555419953,11,0.4720687866210944,0.22
2,18,8,3948.0,169.42977905273463,62,2.6607513427734415,1.57
2,19,0,4601.0,197.45349884033232,0,0.0,0.0
2,20,0,7779.0,333.83846282959036,0,0.0,0.0
2,21,0,5037.0,216.16458892822297,0,0.0,0.0
2,22,0,7371.0,316.32900238037155,0,0.0,0.0
2,23,0,5132.0,220.2415466308597,0,0.0,0.0
2,24,0,6692.0,287.1894836425785,0,0.0,0.0
2,25,0,3691.0,158.40053558349632,0,0.0,0.0
2,26,0,8945.0,383.87775421142635,0,0.0,0.0
2,27,0,10881.0,466.96186065673896,0,0.0,0.0
2,28,0,5117.0,219.59781646728547,0,0.0,0.0
2,29,0,7479.0,320.9638595581059,0,0.0,0.0
2,30,0,3600.0,154.49523925781273,0,0.0,0.0
2,31,0,5163.0,221.5719223022464,0,0.0,0.0
2,32,0,5138.0,220.49903869628938,0,0.0,0.0
2,33,0,4342.0,186.33842468261747,0,0.0,0.0
2,34,0,3021.0,129.64725494384786,0,0.0,0.0
